Epithelial sample ID,Study ID,Haematological sample ID,Study ID,Neurological sample ID,Study ID,Sarcoma Sample ID,Study ID,Matched Normal sample ID,Study ID
TCGA-BH-A0AZ-01A,BRCA,TARGET-20-PAPSCM-09A,AML,TCGA-DU-5854-01A,LGG,TCGA-DX-A48N-01A,TCGA_SARC,,
TCGA-XX-A899-01A,BRCA,TARGET-20-PAVUJA-09A,AML,TCGA-HW-8319-01A,LGG,TCGA-KF-A41W-01A,TCGA_SARC,,
TCGA-WT-AB41-01A,BRCA,TARGET-20-PAULWG-09A,AML,TCGA-QH-A65Z-01A,LGG,TCGA-K1-A6RV-01A,TCGA_SARC,,
TCGA-D8-A1XY-01A,BRCA,TARGET-20-PASPLH-09A,AML,TCGA-TQ-A7RN-01A,LGG,TCGA-DX-A1L1-01A,TCGA_SARC,,
TCGA-A2-A0EM-01A,BRCA,TARGET-20-PAULSL-09A,AML,TCGA-DU-A76O-01A,LGG,TCGA-X6-A8C2-01A,TCGA_SARC,,
TCGA-AO-A1KR-01A,BRCA,TARGET-20-PAXECE-09A,AML,TCGA-DU-6404-02B,LGG,TCGA-DX-A6BA-01A,TCGA_SARC,,
TCGA-D8-A3Z6-01A,BRCA,TARGET-20-PAVLLR-09A,AML,TCGA-P5-A5F2-01A,LGG,TCGA-JV-A5VE-01A,TCGA_SARC,,
TCGA-C8-A1HN-01A,BRCA,TARGET-20-PAXEES-09A,AML,TCGA-QH-A6CX-01A,LGG,TCGA-DX-A48K-01A,TCGA_SARC,,
TCGA-A8-A08R-01A,BRCA,TARGET-20-PANTIV-09A,AML,TCGA-DU-7012-01A,LGG,TCGA-QQ-A8VB-01A,TCGA_SARC,,
TCGA-BH-A1F6-01A,BRCA,TARGET-21-PATAIJ-09A,AML,TCGA-WY-A858-01A,LGG,TCGA-MO-A47P-01A,TCGA_SARC,,
TCGA-A7-A26I-01B,BRCA,TARGET-20-PAVEZN-09A,AML,TCGA-HT-7879-01A,LGG,TCGA-QQ-A8VD-01A,TCGA_SARC,,
TCGA-5T-A9QA-01A,BRCA,TARGET-20-PAVUZN-09A,AML,TCGA-DB-5277-01A,LGG,TCGA-SI-AA8B-01A,TCGA_SARC,,
TCGA-AC-A62V-01A,BRCA,TARGET-20-PAVCNU-09A,AML,TCGA-DU-A7TB-01A,LGG,TCGA-KD-A5QU-01A,TCGA_SARC,,
TCGA-A2-A0SW-01A,BRCA,TARGET-20-PAVEDT-09A,AML,TCGA-P5-A5ET-01A,LGG,TCGA-DX-A6B9-01A,TCGA_SARC,,
TCGA-B6-A0I1-01A,BRCA,TARGET-20-PAWRSP-09A,AML,TCGA-HT-A616-01A,LGG,TCGA-DX-A8BQ-01A,TCGA_SARC,,
TCGA-AO-A0J8-01A,BRCA,TARGET-20-PAWNYX-09A,AML,TCGA-P5-A5EV-01A,LGG,TCGA-DX-A1L4-01A,TCGA_SARC,,
TCGA-AR-A5QP-01A,BRCA,TARGET-20-PAVVAT-09A,AML,TCGA-DB-A64L-01A,LGG,TCGA-DX-A3U5-01A,TCGA_SARC,,
TCGA-E2-A14U-01A,BRCA,TARGET-20-PASXLJ-09A,AML,TCGA-FG-8186-01A,LGG,TCGA-DX-A7EO-01A,TCGA_SARC,,
TCGA-A2-A3XS-01A,BRCA,TARGET-20-PASIZX-09A,AML,TCGA-S9-A6WL-01A,LGG,TCGA-IF-A4AK-01A,TCGA_SARC,,
TCGA-A2-A0EX-01A,BRCA,TARGET-20-PAWENM-09A,AML,TCGA-HT-7473-01A,LGG,TCGA-DX-AB37-01A,TCGA_SARC,,
TCGA-BH-A1F8-01A,BRCA,TARGET-20-PARCIN-09A,AML,TCGA-DU-A5TS-01A,LGG,TCGA-SI-AA8C-01A,TCGA_SARC,,
TCGA-3C-AALI-01A,BRCA,TARGET-20-PAWAMF-09A,AML,TCGA-S9-A6UB-01A,LGG,TCGA-DX-A3UF-01A,TCGA_SARC,,
